Ano;Total
2008;192,672,317
2009;194,517,549
2010;196,353,492
2011;198,185,302
2012;199,977,707
2013;201,721,767
2014;203,459,650
2015;205,188,205
2016;206,859,578
2017;208,504,960
2018;210,166,592
